tt0042261	The Blonde Bandit	6.8	38
tt0042262	Blonde Dynamite	6.3	344
tt0042263	Blondie's Hero	6.1	182
tt0042264	Blue Grass of Kentucky	6.1	32
tt0042265	The Blue Lamp	6.9	1827
tt0042266	Blues Busters	6.7	394
tt0042267	The Body Said No!	3.8	24
tt0042269	The Atomic Fireman	7.3	402
tt0042273	Border Treasure	6.3	75
tt0042274	Borderline	6.1	1256
tt0042275	Born to Be Bad	6.7	2164
tt0042276	Born Yesterday	7.6	10665
tt0042277	Bōryoku no Machi	6.5	11
tt0042279	Branded	6.7	831
tt0042281	The Breaking Point	7.5	3180
tt0042282	Breakthrough	6.7	363
tt0042283	Criminal Brigade	6.2	71
tt0042284	Il Brigante Musolino	7.1	60
tt0042285	Bright Leaf	6.6	1269
tt0042286	Broken Arrow	7.2	8233
tt0042287	Buccaneer's Girl	6.1	557
tt0042288	Buckaroo Sheriff of Texas	4.5	23
tt0042289	Bunco Squad	6.1	277
tt0042292	Bürgermeister Anna	7.5	18
tt0042293	I cadetti di Guascogna	5.6	24
tt0042294	Café Paradis	7.2	186
tt0042295	Cage of Gold	6.3	345
tt0042296	Caged	7.7	3767
tt0042297	Il Caimano del Piave	4.3	12
tt0042298	Cairo Road	5.6	183
tt0042299	California Passage	6.4	99
tt0042300	Call of the Klondike	6.2	42
tt0042301	Path of Hope	7.5	549
tt0042303	Campane a martello	6.7	102
tt0042307	The Black Captain	5.7	12
tt0042308	Captain Poison	6.2	52
tt0042310	Captain Carey	6.2	480
tt0042313	The Capture	5.9	485
tt0042314	Cargo to Capetown	6.1	118
tt0042315	The Cariboo Trail	6.0	674
tt0042316	Caroline Chérie	6.0	139
tt0042318	Casimir	5.3	129
tt0042319	Cassino to Korea	6.7	11
tt0042323	Chain Gang	5.3	96
tt0042324	Chain Lightning	6.0	1280
tt0042325	Champagne for Caesar	7.4	1093
tt0042326	Chance of a Lifetime	6.9	281
tt0042327	Cheaper by the Dozen	7.0	4847
tt0042328	Cherokee Uprising	6.6	21
tt0042329	Chinnamul	7.9	49
tt0042333	The Clouded Yellow	6.9	811
tt0042334	Code of the Silver Sage	7.0	43
tt0042335	Cody of the Pony Express	6.8	34
tt0042338	Colt .45	6.0	919
tt0042339	Comanche Territory	5.7	664
tt0042340	The Company She Keeps	6.4	504
tt0042341	Il Conte di Sant'Elmo	5.7	17
tt0042342	Against the Law	6.3	17
tt0042343	Convicted	6.8	934
tt0042344	Copper Canyon	6.2	656
tt0042345	Cordula	5.3	26
tt0042346	The Black Crown	6.9	111
tt0042347	The King's Mail	5.7	14
tt0042348	County Fair	6.1	27
tt0042349	Cow Town	6.5	90
tt0042351	Crime and Punishment	7.0	53
tt0042352	Crisis	6.7	1654
tt0042354	The Forbidden Christ	7.1	233
tt0042355	Story of a Love Affair	7.1	2813
tt0042356	Crooked River	5.4	56
tt0042359	The Magic Sword	8.0	380
tt0042361	Tales of the Alhambra	5.2	17
tt0042362	Hearts at Sea	5.6	73
tt0042363	The Cure for Love	7.5	31
tt0042367	Cyrano de Bergerac	7.5	3910
tt0042369	D.O.A.	7.3	11378
tt0042370	Dakota Lil	5.8	172
tt0042371	Far from Moscow	6.2	25
tt0042372	Dallas	6.3	1315
tt0042375	La dame de chez Maxim's	5.6	22
tt0042376	The Damned Don't Cry!	7.1	2827
tt0042377	Dance Hall	6.3	182
tt0042379	Dark City	6.7	2269
tt0042380	Dastan	6.8	70
tt0042382	The Daughter of Rosie O'Grady	6.5	492
tt0042383	Davy Crockett, Indian Scout	5.4	278
tt0042385	Woman to Woman	6.3	24
tt0042386	La Virgen gitana	7.4	28
tt0042387	Deported	6.2	127
tt0042388	Deseada	6.8	41
tt0042389	The Desert Hawk	5.6	255
tt0042390	Desperadoes of the West	6.7	80
tt0042392	Destination Big House	7.0	32
tt0042393	Destination Moon	6.3	3922
tt0042394	Destination Murder	6.1	931
tt0042395	Devil's Doorway	7.2	1521
tt0042397	Dial 1119	6.7	1058
tt0042398	Il Diavolo in convento	6.7	9
tt0042399	Dick Barton at Bay	4.5	137
tt0042401	Dieu a besoin des hommes	7.2	80
tt0042402	De Dijk is Ditch	6.2	32
tt0042405	Das Haus in der Einöde	5.7	31
tt0042407	The Miners of Donetsk	5.3	27
tt0042408	Dopey Dicks	7.9	388
tt0042409	Two Times Lotte	7.0	553
tt0042410	Double Confession	6.5	310
tt0042411	Double Crossbones	5.9	300
tt0042412	Double Deal	6.1	224
tt0042413	Doña Perfecta	7.2	96
tt0042415	Three Girls Spinning	6.5	16
tt0042416	Third from the Right	7.1	17
tt0042417	Duchess of Idaho	6.5	556
tt0042419	Due mogli sono troppe	5.2	36
tt0042425	Dynamite Pass	5.9	130
tt0042426	The Eagle and the Hawk	6.0	287
tt0042427	Devotion	7.3	20
tt0042428	Edge of Doom	6.4	668
